OBJECTID,Base BBL,BIN,Construction Year,DOITT ID,Feature Code,Geometry Source,Ground Elevation,Height Roof,LAST_EDITED_DATE,LAST_STATUS_TYPE,Map Pluto BBL,Name,Area,Length,Lease_Category
286062,4082610085,4171579,1987.0,675521,2100,Photogrammetric,93.0,28.14,8/22/2017 5:36:03 PM,Constructed,4082610085,,279.0546875,73.8529645545713,LEASED
287836,2024430090,2124756,1990.0,1205514,5110,Photogrammetric,50.0,12.053059,8/17/2017 5:17:33 PM,Constructed,2024430090,,79.24609375,36.4370761695068,LEASED
288876,4097640001,4565921,1931.0,230133,2100,Photogrammetric,54.0,33.63754659,8/22/2017 7:18:23 PM,Constructed,4097640001,,515.83984375,102.347950756051,LEASED
291069,1000420031,1001015,1912.0,664329,2100,Photogrammetric,14.0,330.74,8/22/2017 6:02:56 PM,Constructed,1000420031,,3168.4609375,262.826720802872,LEASED
291587,1000240001,1000817,1961.0,43141,2100,Photogrammetric,13.0,470.0,8/22/2017 7:37:54 PM,Constructed,1000240001,,7246.484375,343.950711049902,LEASED
292066,3048330001,3337086,1937.0,840802,2100,Photogrammetric,37.0,12.64,8/22/2017 3:41:51 PM,Constructed,3048330001,,459.6171875,100.098904573779,LEASED
294592,1021240001,1062988,2008.0,1112391,2100,Photogrammetric,164.0,99.46511538,8/22/2017 6:55:40 PM,Constructed,1021240001,,982.62890625,151.597147722681,MIXED
298152,4163300060,4540260,1900.0,724079,2100,Photogrammetric,8.0,17.2956229,9/19/2013 12:00:00 AM,Constructed,4163300060,,205.7265625,57.9332284480255,LEASED
300078,2032520129,2015452,1960.0,108659,2100,Photogrammetric,113.0,29.35,8/22/2017 6:19:13 PM,Constructed,2032520129,,628.27734375,104.802299281181,LEASED
300778,1016230035,1051688,1920.0,769545,2100,Photogrammetric,28.0,67.09035658,8/22/2017 6:19:28 PM,Constructed,1016230035,,507.98828125,113.816929853746,LEASED
301413,1000580001,1088797,2009.0,1255672,2100,Photogrammetric,21.0,1064.0,12/26/2024 5:10:43 PM,Constructed,1000580001,,9219.48828125,422.973367942469,LEASED
301631,4093400104,4196343,1967.0,806199,2100,Photogrammetric,64.0,14.0,4/24/2020 5:43:14 PM,Constructed,4093400104,,2043.26953125,187.044990045991,LEASED
