OBJECTID,Base BBL,BIN,Construction Year,DOITT ID,Feature Code,Geometry Source,Ground Elevation,Height Roof,LAST_EDITED_DATE,LAST_STATUS_TYPE,Map Pluto BBL,Name,Area,Length,Lease_Category
766583,2026050020,2097584,1931.0,670889,2100,Photogrammetric,12.0,32.03,7/16/2014 12:00:00 AM,Constructed,2026050020,,348.19921875,83.6481312736721,OWNED
766584,2027610043,2006338,1926.0,507304,2100,Photogrammetric,62.0,61.40377425,8/22/2017 6:49:54 PM,Constructed,2027610043,,808.31640625,179.585484321864,OWNED
766608,2049050003,2094150,1951.0,448206,2100,Photogrammetric,125.0,120.24,4/10/2023 3:00:16 PM,Constructed,2049050003,,1347.62109375,213.269643200559,OWNED
767023,1021500001,1089884,2018.0,1292135,2100,Other (Manual),12.0,13.0,2/24/2020 4:44:38 PM,Constructed,1021500001,,341.625,97.9946654070209,OWNED
767047,2049050001,2094146,1951.0,412252,2100,Photogrammetric,114.0,32.43,8/22/2017 7:32:24 PM,Constructed,2049050001,,1353.41015625,284.490914023027,OWNED
767110,5069010338,5141292,1930.0,889979,5110,Photogrammetric,32.0,22.9,8/17/2017 4:44:19 PM,Constructed,5069010338,,79.35546875,35.8070631425254,OWNED
767400,3032430044,3073772,1994.0,817985,2100,Photogrammetric,41.0,47.97,8/22/2017 3:18:48 PM,Constructed,3032430044,,623.1171875,126.625200483538,OWNED
767501,3016880001,3325168,1980.0,683745,2100,Photogrammetric,51.0,65.19,8/22/2017 3:45:27 PM,Constructed,3016880001,,1428.5859375,258.064775528134,OWNED
767567,2026780068,2112796,2004.0,949722,2100,Photogrammetric,72.0,64.33,8/22/2017 6:49:54 PM,Constructed,2026780068,,1657.078125,205.248351067377,OWNED
767735,1010800103,1082288,1910.0,578570,2100,Photogrammetric,29.0,55.25,8/22/2017 5:32:06 PM,Constructed,1010800103,,673.7578125,109.195797430096,OWNED
767857,2045420100,2101740,1950.0,185365,2100,Photogrammetric,128.0,67.26,8/22/2017 7:10:43 PM,Constructed,2045420100,,603.21484375,101.199916723004,OWNED
767868,3011170001,3411624,1931.0,1003067,2100,Photogrammetric,96.0,3.67,6/18/2014 12:00:00 AM,Constructed,3011170001,,224.8359375,62.3957681735556,OWNED
767977,3020410001,3335250,1939.0,206406,2100,Photogrammetric,45.0,58.19960194,8/22/2017 3:45:28 PM,Constructed,3020410001,,1401.84765625,266.260556757992,OWNED
768016,1016990001,1079368,1960.0,465758,2100,Photogrammetric,9.0,174.08,8/22/2017 5:44:24 PM,Constructed,1016990001,,958.09765625,169.65403307765,OWNED
768151,2029200002,2086675,1986.0,48965,2100,Photogrammetric,59.0,26.48928497,8/22/2017 7:11:00 PM,Constructed,2029200002,,9582.37890625,489.55946683315,OWNED
768236,4027540001,4061565,1965.0,623539,2100,Photogrammetric,95.0,11.06,12/13/2023 5:52:31 PM,Constructed,4027540001,Reiff Playground Public Restroom,82.0078125,36.2246382205093,OWNED
768637,2031200020,2123895,1905.0,925711,2100,Photogrammetric,84.0,14.17,7/17/2014 12:00:00 AM,Constructed,2031200020,,378.32421875,92.2251299933963,OWNED
768640,5075500072,5087090,1910.0,74441,2100,Photogrammetric,17.0,28.04849837,8/22/2017 6:31:25 PM,Constructed,5075500072,,201.421875,62.3681211650047,OWNED
768897,3057450029,3142008,1930.0,529721,2100,Photogrammetric,75.0,94.6,8/22/2017 3:29:08 PM,Constructed,3057450029,,2981.6015625,345.271523820317,OWNED
769167,2047700001,2097404,1963.0,59608,2100,Photogrammetric,48.0,16.52,7/18/2014 12:00:00 AM,Constructed,2047700001,,89.0625,37.7509325136998,OWNED
769262,3075520100,3407334,1920.0,1023422,2100,Photogrammetric,33.0,15.79,6/18/2014 12:00:00 AM,Constructed,3075520100,,175.640625,57.261885364639,OWNED
769464,1007340066,1081068,1910.0,524457,2100,Photogrammetric,43.0,46.0,8/22/2017 7:10:45 PM,Constructed,1007340066,,213.265625,62.9340229796501,OWNED
769482,2037250001,2092796,1953.0,100040,2100,Photogrammetric,17.0,64.41,8/22/2017 5:44:15 PM,Constructed,2037250001,,1028.08203125,199.273121279337,OWNED
769636,4082760657,4171760,1986.0,323171,2100,Photogrammetric,180.0,31.79,8/22/2017 7:32:23 PM,Constructed,4082760657,,1030.8828125,138.001607106117,OWNED
770367,2026960085,2005348,1922.0,161455,2100,Photogrammetric,33.0,98.0,8/22/2017 5:44:14 PM,Constructed,2026960085,,4321.40234375,515.355316549573,OWNED
770473,5000760200,5113034,1900.0,735897,2100,Photogrammetric,41.0,35.58,8/22/2017 7:11:01 PM,Constructed,5000760200,,534.27734375,102.22128024748,OWNED
770677,3083290250,3235262,1955.0,294753,2100,Photogrammetric,13.0,37.39359629,8/22/2017 3:23:59 PM,Constructed,3083290250,,6401.375,467.670152489983,OWNED
770691,2024990108,2117452,2009.0,1113253,2100,Photogrammetric,14.0,29.37387431,1/1/2012 12:00:00 AM,Constructed,2024990108,,14938.10546875,537.960088718988,OWNED
770819,5005450110,5014176,1957.0,72302,2100,Photogrammetric,48.0,43.57,8/22/2017 6:31:26 PM,Constructed,5005450110,,5181.125,424.41963261532,OWNED
770977,4051070200,4610233,1985.0,1191918,5110,Photogrammetric,19.0,10.37,8/17/2017 5:02:31 PM,Constructed,4051070200,,53.87890625,29.5450464276086,OWNED
771165,3071740096,3194486,1960.0,131288,2100,Photogrammetric,12.0,12.55,8/22/2017 3:18:41 PM,Constructed,3071740096,,478.4609375,94.3998146261858,OWNED
771166,5075500072,5167814,1910.0,1214473,5110,Photogrammetric,14.0,12.6683,8/17/2017 4:29:31 PM,Constructed,5075500072,,52.8125,29.8813798836312,OWNED
772207,4057690010,4129461,1969.0,87613,2100,Photogrammetric,82.0,15.37,8/22/2017 7:10:43 PM,Constructed,4057690010,,1208.89453125,151.968678314292,OWNED
772265,4160020001,4436446,1960.0,98245,2100,Photogrammetric,9.0,61.75720255,8/22/2017 5:57:58 PM,Constructed,4160020001,,1246.390625,202.208863744222,OWNED
772306,4007360002,4430994,1949.0,334344,2100,Photogrammetric,45.0,66.25,8/22/2017 7:11:00 PM,Constructed,4007360002,,1497.14453125,337.345416756375,OWNED
772397,2022840034,2000308,1966.0,49647,2100,Photogrammetric,22.0,45.04,8/22/2017 6:49:55 PM,Constructed,2022840034,,5744.06640625,536.184938437046,OWNED
772698,3017490015,3338596,1950.0,33707,2100,Photogrammetric,45.0,60.84,8/22/2017 3:39:58 PM,Constructed,3017490015,,1670.54296875,264.315325384351,OWNED
772770,2037230001,2092786,1953.0,283888,2100,Photogrammetric,18.0,63.61,8/22/2017 5:44:24 PM,Constructed,2037230001,,1033.48046875,202.711996817631,OWNED
772891,5014780500,5107210,1959.0,706365,2100,Photogrammetric,36.0,39.03,8/22/2017 5:58:00 PM,Constructed,5014780500,,9502.859375,587.179902235276,OWNED
772894,1001110100,1077418,1950.0,798714,2100,Photogrammetric,10.0,149.42763616,8/22/2017 7:11:01 PM,Constructed,1001110100,,1414.7421875,230.275246462347,OWNED
773070,4093300008,4195982,1937.0,757368,2100,Photogrammetric,62.0,26.1046035,8/22/2017 7:32:24 PM,Constructed,4093300008,,886.3046875,128.555891916489,OWNED
773456,3017980077,3426333,1994.0,982374,2100,Photogrammetric,54.0,42.98,9/24/2018 6:07:15 PM,Constructed,3017980077,,603.23046875,112.266499575069,OWNED
773651,1004160001,1077637,1986.0,768036,2100,Photogrammetric,37.0,36.56,8/22/2017 5:44:25 PM,Constructed,1004160001,,1030.6875,155.772186687985,OWNED
773661,1016470001,1082345,1954.0,568919,2100,Photogrammetric,19.0,25.24233279,8/22/2017 7:11:00 PM,Constructed,1016470001,,2554.0546875,229.932146317915,OWNED
773838,2032070040,2094683,1929.0,254452,2100,Photogrammetric,132.0,75.41099932,8/22/2017 6:13:44 PM,Constructed,2032070040,,2840.109375,326.010105593828,OWNED
774024,5013010001,5028635,1992.0,1292584,5110,Other (Manual),10.0,12.0,6/9/2020 2:21:19 PM,Constructed,5013010001,,70.1171875,35.0248231072603,OWNED
774094,4014290001,4546452,1971.0,719245,2100,Photogrammetric,65.0,12.33274968,6/19/2013 12:00:00 AM,Constructed,4014290001,,88.0,37.5241678500684,OWNED
774308,2031200020,2128279,1905.0,1207656,5110,Photogrammetric,43.0,10.43261642,8/17/2017 5:02:52 PM,Constructed,2031200020,,34.87890625,26.431888884044,OWNED
774362,2034350018,2019926,1931.0,1252706,5110,Photogrammetric,11.0,12.28804125,8/22/2017 7:11:00 PM,Constructed,2034350018,,58.11328125,30.4978206560363,OWNED
774390,4018720008,4530765,1935.0,1061849,2100,Photogrammetric,18.0,23.17,12/12/2023 9:28:22 PM,Constructed,4018720008,Newtown Playground Public Restroom,259.4140625,71.5760833036547,OWNED
774428,1000740001,1081995,1980.0,275244,2100,Photogrammetric,6.0,64.82,8/22/2017 7:32:37 PM,Constructed,1000740001,,190.08984375,66.0966845503967,OWNED
774582,2049050360,2093746,1962.0,439741,2100,Photogrammetric,118.0,56.66,8/22/2017 5:32:06 PM,Constructed,2049050360,,878.59375,144.470390974768,OWNED
774642,5032430100,5109508,1950.0,746604,2100,Photogrammetric,42.0,57.0,8/22/2017 6:49:55 PM,Constructed,5032430100,,1336.21875,303.788883440805,OWNED
774724,3028670001,3327833,1950.0,361545,2100,Photogrammetric,30.0,68.4,8/22/2017 3:45:27 PM,Constructed,3028670001,,1014.89453125,181.127434104709,OWNED
774903,4113680020,4539787,2008.0,1245139,2100,Photogrammetric,32.0,34.79740093,8/22/2017 6:13:55 PM,Constructed,4113680020,,4059.18359375,255.279582539071,OWNED
774918,3013410012,3035671,1950.0,531514,2100,Photogrammetric,70.0,43.98,8/22/2017 3:18:41 PM,Constructed,3013410012,,730.8828125,118.58021410439,OWNED
774992,4106210012,4226761,1951.0,2752,2100,Photogrammetric,79.0,16.15,8/22/2017 6:49:54 PM,Constructed,4106210012,,1062.08984375,135.889664636274,OWNED
775169,4031720002,4075214,1955.0,623876,2100,Photogrammetric,55.0,50.39,8/22/2017 7:10:45 PM,Constructed,4031720002,,6270.25390625,450.181180570283,OWNED
775668,1000180100,1078977,1949.0,37175,5110,Photogrammetric,11.0,84.1,8/22/2017 5:32:06 PM,Constructed,1000180100,,8886.65625,454.585565051371,OWNED
775774,1016620001,1080703,1958.0,356850,2100,Photogrammetric,15.0,82.55,8/22/2017 7:11:01 PM,Constructed,1016620001,,1307.97265625,202.480470415805,OWNED
776061,4142600001,4542321,1994.0,1067676,2100,Photogrammetric,10.0,39.3414,2/14/2009 12:00:00 AM,Constructed,4142600001,,7173.03515625,440.294777757471,OWNED
776445,3018620026,3329713,1910.0,243201,2100,Photogrammetric,58.0,44.51,8/22/2017 3:51:19 PM,Constructed,3018620026,,1485.8984375,186.612573583719,OWNED
776697,3046480001,3101168,1931.0,515258,2100,Photogrammetric,30.0,60.45,8/22/2017 3:51:19 PM,Constructed,3046480001,,3954.26171875,407.334795975381,OWNED
776713,3017940115,3050199,1975.0,488525,2100,Photogrammetric,47.0,38.73109628,8/22/2017 3:23:52 PM,Constructed,3017940115,,138.8359375,49.2836208290651,OWNED
777077,1018080001,1081286,1957.0,207588,2100,Photogrammetric,12.0,157.71,8/22/2017 5:57:59 PM,Constructed,1018080001,,1057.15234375,191.173008642026,OWNED
777150,2023500024,2092185,1949.0,582425,2100,Photogrammetric,29.0,15.51,8/22/2017 7:11:01 PM,Constructed,2023500024,,741.63671875,114.108459969857,OWNED
777365,3020980013,3058752,1932.0,215596,2100,Photogrammetric,34.0,229.41,8/22/2017 3:45:28 PM,Constructed,3020980013,,13876.34375,744.115896932514,OWNED
777688,4162900080,4595363,1930.0,1213001,5110,Photogrammetric,7.0,11.92135002,12/7/2018 6:34:25 PM,Constructed,4162900080,,43.609375,27.5513405307312,OWNED
777912,2030690001,2011995,1938.0,615442,2100,Photogrammetric,84.0,78.53,8/22/2017 6:31:40 PM,Constructed,2030690001,,3466.15625,401.635505958124,OWNED
778214,3019380001,3339158,1965.0,722800,2100,Photogrammetric,65.0,115.04,8/22/2017 3:29:08 PM,Constructed,3019380001,,1223.25,183.229067848924,OWNED
778420,1002560001,1077514,1954.0,481008,2100,Photogrammetric,21.0,141.17,8/22/2017 6:13:13 PM,Constructed,1002560001,,1063.91796875,186.720036706275,OWNED
778530,1003620001,1077553,1948.0,728719,2100,Photogrammetric,11.0,61.87,8/22/2017 6:13:44 PM,Constructed,1003620001,,1237.8828125,253.222390034041,OWNED
778556,5009550100,5154942,1930.0,705179,2100,Photogrammetric,281.0,22.14,12/7/2018 6:34:04 PM,Constructed,5009550100,,523.09375,144.028087780824,OWNED
778558,2049050003,2094159,1951.0,748539,2100,Photogrammetric,131.0,31.40156098,4/10/2023 3:00:16 PM,Constructed,2049050003,,1274.48828125,283.147995610986,OWNED
778603,1015870001,1051374,1942.0,945480,2100,Photogrammetric,9.0,88.66,8/22/2017 7:10:45 PM,Constructed,1015870001,,1012.875,128.956855657055,OWNED
778645,4050130006,4113403,1661.0,776399,2100,Photogrammetric,64.0,26.12,8/22/2017 6:50:07 PM,Constructed,4050130006,Bowne House,456.23046875,97.5151259279893,OWNED
778877,5002390001,5156178,1930.0,99648,2100,Photogrammetric,236.0,35.35,8/22/2017 6:49:55 PM,Constructed,5002390001,,677.9453125,131.304379123858,OWNED
779441,1017350027,1053912,1920.0,650112,2100,Photogrammetric,13.0,63.09,8/22/2017 6:50:08 PM,Constructed,1017350027,,421.453125,105.114434792671,OWNED
779547,5002000024,5005373,1920.0,714247,2100,Photogrammetric,14.0,26.30451509,8/22/2017 5:31:56 PM,Constructed,5002000024,,1438.1875,200.660333925301,OWNED
779672,2032470010,2098784,1913.0,561180,2100,Photogrammetric,135.0,129.18,12/7/2018 6:34:04 PM,Constructed,2032470010,,31648.65234375,849.486758600395,OWNED
779713,2025300021,2003522,1930.0,145172,2100,Photogrammetric,26.0,44.92,8/22/2017 6:50:08 PM,Constructed,2025300021,,1383.71875,179.727140691017,OWNED
